session,topology,N,density,strain_length,stress_area,eps_max,excluded,W_eps0.1,SEA_eps0.1,W_eps0.25,SEA_eps0.25,W_eps0.5,SEA_eps0.5
NS2_orig6,Kelvin,3,0.206649,15,225,0.600639,False,0.208953,1.01115,0.675353,3.26812,1.50107,7.26387
NS4,Kelvin,4,0.208456,20,400,0.599225,False,0.224772,1.07827,0.733016,3.51641,1.6706,8.0142
NS3_baseline,Kelvin,4,0.206649,20,400,0.60313,False,0.216957,1.04988,0.696912,3.37244,1.56721,7.5839
NS2_orig6,Kelvin,4,0.206649,20,400,0.60313,False,0.216957,1.04988,0.696912,3.37244,1.56721,7.5839
NS4,Kelvin,5,0.208456,25,625,0.600376,False,0.229455,1.10074,0.74708,3.58388,1.70723,8.18989
NS3_baseline,Kelvin,5,0.20665,25,625,0.600972,False,0.221958,1.07408,0.712239,3.4466,1.61115,7.79649
NS2_orig6,Kelvin,5,0.20665,25,625,0.600972,False,0.221958,1.07408,0.712239,3.4466,1.61115,7.79649
NS4,Octahedron,1,0.204758,5,25,0.600024,False,0.262301,1.28103,0.885186,4.32307,1.93864,9.46794
NS3_baseline,Octahedron,1,0.204754,5,25,0.599102,False,0.260506,1.27229,0.875581,4.27626,1.90169,9.28771
NS4,Octahedron,2,0.204759,10,100,0.599713,False,0.264008,1.28936,0.882495,4.30993,1.94006,9.47487
NS3_baseline,Octahedron,2,0.204755,10,100,0.601208,False,0.261783,1.27852,0.871576,4.25669,1.91209,9.33845
NS4,Octahedron,3,0.20476,15,225,0.598859,False,0.266258,1.30034,0.875953,4.27795,1.95717,9.55838
NS3_baseline,Octahedron,3,0.204752,15,225,0.600347,False,0.264014,1.28943,0.864553,4.22243,1.93027,9.42735
NS4,Octahedron,4,0.20476,20,400,0.59965,False,0.267464,1.30623,0.876971,4.28292,1.95616,9.55342
NS3_baseline,Octahedron,4,0.204756,20,400,0.599295,False,0.262137,1.28024,0.865898,4.22892,1.9408,9.47861
NS4,Octahedron,5,0.204759,25,625,0.599696,False,0.268068,1.30918,0.875158,4.27408,1.95587,9.55206
NS4,Octet_truss,1,0.378636,5,25,0.59986,False,0.596292,1.57484,1.95504,5.16338,4.2967,11.3478
NS4,Octet_truss,2,0.378638,10,100,0.600059,False,0.588085,1.55316,1.91566,5.05934,4.34704,11.4807
NS3_baseline,Octet_truss,2,0.378638,10,100,0.599746,False,0.579152,1.52957,1.88073,4.9671,4.24236,11.2043
NS2_orig6,Octet_truss,2,0.378638,10,100,0.599746,False,0.579152,1.52957,1.88073,4.9671,4.24236,11.2043
NS4,Octet_truss,3,0.378638,15,225,0.599021,False,0.583354,1.54066,1.88894,4.98877,4.30715,11.3754
NS3_baseline,Octet_truss,3,0.378638,15,225,0.600223,False,0.575538,1.52002,1.8604,4.91339,4.2245,11.1571
NS2_orig6,Octet_truss,3,0.378638,15,225,0.600223,False,0.575538,1.52002,1.8604,4.91339,4.2245,11.1571
NS4,Octet_truss,4,0.37864,20,400,0.599415,False,0.581669,1.53621,1.88123,4.96839,4.283,11.3115
NS3_baseline,Octet_truss,4,0.37864,20,400,0.59931,False,0.573292,1.51408,1.84903,4.88335,4.19801,11.0871
NS2_orig6,Octet_truss,4,0.37864,20,400,0.59931,False,0.573292,1.51408,1.84903,4.88335,4.19801,11.0871
NS4,Octet_truss,5,0.378641,25,625,0.599204,False,0.580646,1.5335,1.87591,4.95433,4.27272,11.2844
NS3_baseline,Octet_truss,5,0.378641,25,625,0.5997,False,0.572283,1.51141,1.84433,4.87093,4.18844,11.0618
NS2_orig6,Octet_truss,5,0.378641,25,625,0.5997,False,0.572283,1.51141,1.84433,4.87093,4.18844,11.0618
NS3_baseline,Rhombic,1,0.35041,5,25,0.601382,False,0.48438,1.38232,1.49169,4.25699,4.1073,11.7214
NS4,Rhombic,2,0.351524,10,100,0.600417,False,0.45559,1.29604,1.49485,4.25249,4.08038,11.6077
NS3_baseline,Rhombic,2,0.35041,10,100,0.598753,False,0.44316,1.26469,1.42356,4.06256,3.85136,10.991
NS4,Rhombic,3,0.351524,15,225,0.60074,False,0.444517,1.26454,1.46082,4.15569,3.9458,11.2248
NS3_baseline,Rhombic,3,0.350408,15,225,0.598183,False,0.441934,1.2612,1.45368,4.14853,3.92405,11.1985
NS4,Rhombic,4,0.351524,20,400,0.598965,False,0.439334,1.2498,1.43765,4.08977,3.90583,11.1112
NS3_baseline,Rhombic,4,0.350408,20,400,0.600105,False,0.436805,1.24656,1.42983,4.08047,3.87939,11.0711
NS4,Rhombic,5,0.351523,25,625,0.600732,False,0.436272,1.24109,1.42954,4.0667,3.88664,11.0566
NS4,Tetrahedron_base,1,0.303128,5,25,0.600178,False,0.383952,1.26663,1.18839,3.92043,2.7599,9.10475
NS3_baseline,Tetrahedron_base,1,0.303128,5,25,0.600264,False,0.365313,1.20514,1.09353,3.60749,2.55782,8.43809
NS4,Tetrahedron_base,2,0.327989,10,100,0.599045,False,0.437831,1.3349,1.42392,4.34137,3.80752,11.6087
NS3_baseline,Tetrahedron_base,2,0.327989,10,100,0.601184,False,0.424295,1.29362,1.35187,4.12169,3.66805,11.1835
NS4,Tetrahedron_base,3,0.336276,15,225,0.599529,False,0.45326,1.34788,1.49123,4.43453,4.08047,12.1343
NS3_baseline,Tetrahedron_base,3,0.336276,15,225,0.599936,False,0.453356,1.34817,1.48984,4.43042,4.10966,12.2211
NS4,Tetrahedron_base,4,0.34042,20,400,0.60011,False,0.460089,1.35153,1.52068,4.46709,4.25431,12.4973
NS3_baseline,Tetrahedron_base,4,0.34042,20,400,0.599885,False,0.460069,1.35148,1.51985,4.46464,4.25561,12.5011
NS4,Tetrahedron_base,5,0.342905,25,625,0.600296,False,0.464081,1.35338,1.53745,4.4836,4.31045,12.5704
NS4,Truncated_cube,1,0.133109,5,25,0.600104,True,0.128737,0.967158,0.375925,2.82419,0.787921,5.91937
NS3_baseline,Truncated_cube,1,0.131438,5,25,0.600298,True,0.120511,0.916872,0.354387,2.69624,0.697892,5.30969
NS4,Truncated_cube,2,0.133109,10,100,0.600078,True,0.150505,1.13069,0.417578,3.1371,0.736341,5.53185
NS3_baseline,Truncated_cube,2,0.131439,10,100,0.599517,True,0.130113,0.989914,0.314785,2.39492,0.572138,4.35289
NS4,Truncated_cube,3,0.133108,15,225,0.599379,True,0.158964,1.19425,0.433703,3.25827,0.798258,5.99705
NS3_baseline,Truncated_cube,3,0.131439,15,225,0.600091,True,0.150417,1.14439,0.393397,2.99299,0.793126,6.03416
NS4,Truncated_cube,4,0.133108,20,400,0.60046,True,0.161314,1.21191,0.413284,3.10489,0.757427,5.69034
NS3_baseline,Truncated_cube,4,0.131437,20,400,0.190452,True,0.153036,1.16433,,,,
NS4,Truncated_cube,5,0.133108,25,625,0.59956,True,0.163841,1.23088,0.457527,3.43725,0.803766,6.03844
NS3_baseline,Truncated_cube,5,0.13144,25,625,0.165029,True,0.156695,1.19214,,,,
NS4,Truncated_Octoctahedron,1,0.304196,5,25,0.600186,False,0.31155,1.02418,1.04482,3.43468,2.39544,7.87468
NS3_baseline,Truncated_Octoctahedron,1,0.298662,5,25,0.599718,False,0.284853,0.953766,0.948389,3.17546,2.17511,7.28285
NS4,Truncated_Octoctahedron,2,0.304195,10,100,0.600295,False,0.36273,1.19242,1.22517,4.02756,3.04784,10.0194
NS3_baseline,Truncated_Octoctahedron,2,0.298662,10,100,0.601537,False,0.335936,1.1248,1.12458,3.76538,2.81678,9.43131
NS4,Truncated_Octoctahedron,3,0.304195,15,225,0.599884,False,0.382323,1.25683,1.29041,4.24204,3.19039,10.488
